Bill Number,Year,Subfields,Failure Reason/ or Passed,Stalled in Committee? (1 Yes/0 No),Chamber,Sponsor Party,Bipartisan?,Introduced Month,# of Sponsors,Link
H.R. 4829,2018,Job Security; General Ethical Usage,Stalled in Committee (House),1,House,Democrat,TRUE,January,15,https://www.congress.gov/bill/115th-congress/house-bill/4829
S. 3502,2018,Push for AI Research; Policy Advisory,Stalled in Committee (Senate),1,Senate,Democrat,TRUE,September,4,https://www.congress.gov/bill/115th-congress/senate-bill/3502
S. 1363,2019,Push for AI Research; Data Usage; AGI,Senate Calendar Inaction,0,Senate,Democrat,TRUE,May,6,https://www.congress.gov/bill/116th-congress/senate-bill/1363
H.R. 7096,2019,Data Usage; General Ethical Usage,Stalled in Committee (House),1,House,Democrat,TRUE,June,9,https://www.congress.gov/bill/116th-congress/house-bill/7096
H.R. 827,2019,Job Security; General Ethical Usage,Stalled in Committee (House),1,House,Democrat,TRUE,January,17,https://www.congress.gov/bill/116th-congress/house-bill/827
S.1558,2019,Push for AI Research; Policy Advisory; AI in Government,Stalled in Committee (Senate),1,Senate,Democrat,TRUE,May,3,https://www.congress.gov/bill/116th-congress/senate-bill/1558
H.Res. 153,2019,General Ethical Usage; Policy Advisory,Expired Without Action,1,House,Democrat,FALSE,February,11,https://www.congress.gov/bill/116th-congress/house-resolution/153
S. 3901,2020,General Ethical Usage; Data Usage,Expired Without Action,1,Senate,Democrat,TRUE,June,2,https://www.congress.gov/bill/116th-congress/senate-bill/3901
S. 3890,2020,AI in Government; Push for AI Research; Policy Advisory,Expired Without Action,1,Senate,Republican,TRUE,June,2,https://www.congress.gov/bill/116th-congress/senate-bill/3890
H.R. 7339,2020,Push for AI Research,Expired Without Action,1,House,Democrat,FALSE,June,1,https://www.congress.gov/bill/116th-congress/house-bill/7339
H.R. 8183,2020,AI in Government; Push for AI Research,Expired Without Action,1,House,Democrat,FALSE,September,1,https://www.congress.gov/bill/116th-congress/house-bill/8183
H.R. 8128,2020,General Ethical Usage; Policy Advisory,Passed House; Senate Stall,1,House,Democrat,TRUE,August,5,https://www.congress.gov/bill/116th-congress/house-bill/8128
S. 4082,2020,AI in Government; Policy Advisory,Expired Without Action,1,Senate,Democrat,TRUE,June,2,https://www.congress.gov/bill/116th-congress/senate-bill/4082
H.R. 7856,2020,AI in Government; Push for AI Research; Policy Advisory,Expired Without Action,1,House,Democrat,FALSE,July,1,https://www.congress.gov/bill/116th-congress/house-bill/7856
S.Amdt 1977,2020,GEU,Amendment Passed,0,Senate,,FALSE,,0,https://www.congress.gov/amendment/116th-congress/senate-amendment/1977
S.Amdt 2301,2020,GEU,Amendment Passed,0,Senate,,FALSE,,0,https://www.congress.gov/amendment/116th-congress/senate-amendment/2301
S. 2551,2021,AI in Government; Policy Advisory; ,Passed,0,Senate,Democrat,TRUE,July,2,https://www.congress.gov/bill/117th-congress/senate-bill/2551
S. 1353,2021,AI in Government; General Ethical Usage,Senate Calendar Inaction,0,Senate,Democrat,TRUE,April,2,https://www.congress.gov/bill/117th-congress/senate-bill/1353
S. 1257,2021,Data Usage; General Ethical Usage,Expired Without Action,1,Senate,Democrat,TRUE,April,2,https://www.congress.gov/bill/117th-congress/senate-bill/1257
H.R. 4468,2021,Data Usage; General Ethical Usage,Stalled in Committee (House),1,House,Democrat,FALSE,July,1,https://www.congress.gov/bill/117th-congress/house-bill/4468
H.R. 4469,2021,Artificial General Intelligence; Policy Advisory,Stalled in Committee (House),1,House,Democrat,TRUE,July,4,https://www.congress.gov/bill/117th-congress/house-bill/4469
H.R. 6553,2021,Data Usage; General Ethical Usage,Stalled in Committee (House),1,House,Democrat,FALSE,February,5,https://www.congress.gov/bill/117th-congress/house-bill/6553
H.R. 7811,2021,General Ethical Usage; Policy Advisory,Stalled in Committee (House),1,House,Republican,TRUE,May,2,https://www.congress.gov/bill/117th-congress/house-bill/7811
H.R. 3844,2021,Data Usage; General Ethical Usage,Stalled in Committee (House),1,House,Republican,TRUE,June,5,https://www.congress.gov/bill/117th-congress/house-bill/3844
H.R.3723,2021,AI in Government; Push for AI Research,Passed House; Senate Committee Stall,1,House,Democrat,TRUE,June,6,https://www.congress.gov/bill/117th-congress/house-bill/3723
H.R. 5467,2021,"General Ethical Usage, Policy Advisory",Stalled in Committee (House),1,House,Republican,FALSE,September,1,https://www.congress.gov/bill/117th-congress/house-bill/5467
