Variable Name,Hurdle 1 Coeff Mean,Hurdle 1 Std_Deviation,Hurdle 1 Std_Error_of_Mean,Hurdle 1 Z_score,Hurdle 1 P_value,Hurdle 1 FDR_Q,Hurdle 1 CI_95_Lower,Hurdle 1 CI_95_Upper,Hurdle 1 Successful_Trials,Hurdle 2 Coeff Mean,Hurdle 2 Std_Deviation,Hurdle 2 Std_Error_of_Mean,Hurdle 2 Z_score,Hurdle 2 P_value,Hurdle 2 FDR_Q,Hurdle 2 CI_95_Lower,Hurdle 2 CI_95_Upper,Hurdle 2 Successful_Trials
Num_Sponsors,-0.3570040330745783,0.41440696717734016,0.013104698945230336,-0.8614817349868613,0.38897277659380425,0.6223564425500868,-1.02368004638401,0.4881024656674662,1000,-0.9764690679167451,0.3800586098301743,0.012018508514206107,-2.5692591686136814,0.010191620428024573,0.08153296342419658,-1.7897145005969417,-0.3113540776462635,1000
Chamber_Binary,0.09010867056059524,0.6305177715794619,0.019938722634048812,0.1429121820545532,0.8863595374450874,0.9615708710469295,-1.2435698384979368,1.2359746972620798,1000,-1.069329987438108,0.5249450884945582,0.016600221261614544,-2.0370320836884885,0.04164682696783717,0.24988096180702302,-2.139209658658148,-0.03847296550215804,1000
Sponsor_Party_Binary,-0.9085431921467362,0.6835871445082689,0.021616923558567924,-1.3290817409977582,0.18382100353482755,0.4448212881236057,-2.269381056535338,0.34025163984598306,1000,0.2414589653910282,0.46007526273669375,0.014548857253483443,0.5248249252844918,0.5997049026124244,0.7996065368165658,-0.6414598524431658,1.156704760882425,1000
General Ethical Usage,-0.3735771876258353,0.5671593839640081,0.01793515449664243,-0.65868113653488,0.5101005486533101,0.7201419510399671,-1.3696422116557962,0.8330314200384696,1000,-0.6630348759658828,0.5121522656974551,0.016195676684196823,-1.294604984443355,0.1954565320333126,0.4448212881236057,-1.7097899635657003,0.3298027994424068,1000
Policy Advisory,0.1283344780011577,0.5766016143165446,0.018233744037702327,0.22257044519945487,0.8238698407854235,0.9415655323261982,-1.05534085741703,1.181880998406674,1000,-0.5079887525463861,0.5223185134513664,0.01651716166579613,-0.9725650909628066,0.33076949965586766,0.6223564425500868,-1.4952974994701536,0.4767150538506692,1000
Data Usage,0.41256309100873084,0.5746120636285722,0.01817082892075885,0.7179854324732914,0.472766269032886,0.709149403549329,-0.6239272974591734,1.7716217777971903,1000,-0.4738240491582964,0.5239084983416579,0.016567441402781873,-0.9044022966951383,0.36578212079308114,0.6223564425500868,-1.5418984692423123,0.5096343573419981,1000
AI in Government + Military,-0.02853621155225642,0.573661296264279,0.018140763016797637,-0.04974400702659593,0.9603263873111896,0.9615708710469295,-1.1609774351275473,1.1313174024023986,1000,0.19008366271532717,0.4950908416149135,0.015656147081928026,0.3839369399266248,0.7010251865749364,0.8698734365857701,-0.7267671394267252,1.1887170995496206,1000
Push for AI Research,-1.1932994103475147,0.6677238722546467,0.02111528284391994,-1.7871150934265712,0.07391888849686756,0.3548106647849643,-2.399683242425429,0.2376195529019368,1000,-0.7256221694991272,0.5150783603568492,0.016288207921926225,-1.4087607349615932,0.15890592917542534,0.4448212881236057,-1.7578379222549807,0.31073718578433274,1000
Deepfake,1.5535713713634254,0.3200756538554879,0.010121680897509965,4.853763017117362,1.2114049003919547e-06,2.9073717609406913e-05,0.9125989333890405,2.14908147754634,1000,-0.7583590423384925,0.5366003967627933,0.0169687944712047,-1.4132658993797367,0.15757755657808703,0.4448212881236057,-1.6718634539929156,0.3167353542998987,1000
Job Security,1.2298044229575171,0.35154886491930465,0.011116951219918684,3.4982460354119174,0.00046832888133763184,0.005619946576051582,0.5397179138498631,1.9125682145297136,1000,0.5049414974611351,0.5461827989846313,0.017271816635973363,0.9244917606336838,0.355230339334069,0.6223564425500868,-0.6463624838137263,1.4480695658714957,1000
Advanced AI,-0.03947824334633989,0.8193497537483386,0.025910114221428342,-0.048182407043800175,0.9615708710469295,0.9615708710469295,-1.4988223575964683,1.336735949538772,1000,0.9789978154622877,0.7544074003211515,0.02385645668701281,1.2977044167985732,0.194388925349549,0.4448212881236057,-0.5817062851894553,2.347490289136976,1000
Bipartisan,-0.2228407020909161,0.6332051419557112,0.020023704747102928,-0.35192497237570197,0.7248945304881418,0.8698734365857701,-1.5736425516518786,0.9662237977385844,1000,0.664990397155768,0.5233735175212343,0.01655052382381143,1.2705847256186171,0.20387642372331927,0.4448212881236057,-0.3826286415127445,1.692438296025224,1000
ACCURACY: Train (mean over trials),0.7680894308943088,0.053997068953926045,,,,,,,1000,0.7701600637875329,0.05182015356782255,,,,,,,1000
ACCURACY: Test OOB (mean over trials),0.6454555284152441,0.07794814530450915,,,,,,,1000,0.6362755739028922,0.07146297441482194,,,,,,,1000
